b_001	e	
b_002	e	
b_003	n	
b_004	n	
b_005	e	
b_006	e	
b_007	e	
b_008	g	
b_009	e	
b_010	g	
b_011	n	
b_012	n	
b_013	e	
b_014	g	
b_015	n	
b_016	n	
b_017	n	
b_018	n	
b_019	n	
b_020	e	
b_021	n	
b_022	n	
b_023	g	
b_024	n	
b_025	n	
b_026	e	
b_027	e	
b_028	n	
b_029	e	
b_030	n	
b_031	g	
b_032	e	
b_033	n	
b_034	n	
b_035	n	
b_036	g	
b_037	e	
b_038	g	
b_039	g	
b_040	g	
b_041	g	type error by initialization, or type error by arithmetic? Could be line 3 or 8.
b_042	n	
b_043	n	
b_044	n	
b_045	n	
b_046	g	
b_047	e	
b_048	g	
b_049	n	
b_050	n	
b_051	e	
b_052	n	
b_053	n	
b_054	n	
b_055	n	
b_056	e	
b_057	e	
b_058	e	
b_059	n	
b_060	e	
b_061	e	
b_062	e	
b_063	e	
b_064	g	
b_065	e	
b_066	e	
b_067	e	
