d_000	g	answer incorrect
d_001	g	
d_002	g	
d_003	g	
d_004	g	
d_005	g	
d_006	g	
d_007	g	
d_008	g	
d_009	g	
d_010	n	
d_011	g	
d_012	g	
d_013	g	
d_014	g	
d_015	g	
d_016	g	
d_017	g	
d_018	g	
d_019	g	
d_020	g	
d_021	g	
d_022	g	
d_023	g	
d_024	g	
d_025	g	
d_026	g	
d_027	n	
d_028	g	
d_029	e	
d_030	e	
d_031	e	
d_032	n	
d_033	e	
d_034	n	
d_035	n	
d_036	e	
d_037	e	
d_038	g	
d_039	g	
d_040	e	
d_041	n	
d_042	g	
d_043	e	
d_044	n	
d_045	e	
d_046	n	
d_047	n	
d_048	g	
d_049	n	
d_050	n	
d_051	e	
d_052	e	
d_053	n	
d_054	e	
d_055	g	
d_056	g	
d_057	e	
d_058	n	
d_059	n	
d_060	n	
d_061	g	
d_062	g	
d_063	n	
d_064	n	
d_065	n	
d_066	n	
d_067	n	
d_068	n	
d_069	n	
d_070	g	
d_071	e	
d_072	e	
d_073	n	
d_074	n	
d_075	n	
d_076	n	
d_077	n	
d_078	n	
d_079	n	
d_080	n	
d_081	e	
d_082	n	
d_083	g	
d_084	n	
d_085	n	
d_086	n	
d_087	n	
d_088	e	
d_089	n	
d_090	e	
d_091	g	
d_092	n	
d_093	n	
d_094	n	
d_095	n	
d_096	n	
d_097	n	
d_098	n	
d_099	n	
d_100	n	
d_101	g	
d_102	n	
d_103	n	
d_104	e	
d_105	n	
d_106	n	
d_107	n	
d_108	n	
d_109	n	
d_110	n	
d_111	n	
d_112	n	
d_113	n	
d_114	n	
d_115	n	
d_116	n	
d_117	n	
d_118	n	
d_119	g	
d_120	g	
d_121	e	
d_122	n	
d_123	n	
d_124	n	
d_125	n	
d_126	e	
d_127	g	
d_128	g	
d_129	e	
d_130	e	
d_131	e	
d_132	n	
d_133	n	
d_134	n	
d_135	n	
d_136	n	
d_137	g	
d_138	e	
d_139	g	
d_140	n	
d_141	n	
d_142	g	
d_143	n	
d_144	g	
d_145	n	
d_146	g	
d_147	n	
d_148	n	
d_149	n	
d_150	n	
d_151	g	
d_152	g	
d_153	g	
d_154	n	
d_155	g	
d_156	n	
d_157	n	
d_158	g	
d_159	n	
d_160	n	
d_161	n	
d_162	n	
d_163	g	
d_164	g	
d_165	g	
d_166	g	
d_167	n	
d_168	n	
d_169	n	
d_170	g	
d_171	n	
d_172	n	
d_173	n	
d_174	n	
d_175	n	
d_176	n	
d_177	g	
d_178	g	
